Dataset	Effect	Trt	Estimate
73	Intercept		-0.7453
73	Trt	D	-1.9650
73	Trt	C	-0.4241
73	Trt	B	-0.3322
73	Trt	A	0
73	Scale Parameter		2.5808
74	Intercept		-0.8073
74	Trt	D	-1.2968
74	Trt	C	-0.5096
74	Trt	B	-0.3652
74	Trt	A	0
74	Scale Parameter		4.4305
75	Intercept		-0.7777
75	Trt	D	-1.7452
75	Trt	C	-1.0450
75	Trt	B	-0.3715
75	Trt	A	0
75	Scale Parameter		2.3435
76	Intercept		-0.5049
76	Trt	D	-1.8431
76	Trt	C	-0.8551
76	Trt	B	-0.9100
76	Trt	A	0
76	Scale Parameter		3.1631
77	Intercept		-0.6309
77	Trt	D	-2.0574
77	Trt	C	-0.6552
77	Trt	B	-0.6900
77	Trt	A	0
77	Scale Parameter		1.8967
78	Intercept		-0.4280
78	Trt	D	-1.5821
78	Trt	C	-1.0340
78	Trt	B	-0.9729
78	Trt	A	0
78	Scale Parameter		3.3568
79	Intercept		-0.6305
79	Trt	D	-2.1905
79	Trt	C	-1.0291
79	Trt	B	-0.6477
79	Trt	A	0
79	Scale Parameter		2.6062
80	Intercept		-0.8412
80	Trt	D	-1.6054
80	Trt	C	-0.6923
80	Trt	B	-0.2809
80	Trt	A	0
80	Scale Parameter		2.4348
81	Intercept		-0.9249
81	Trt	D	-1.4610
81	Trt	C	-0.5527
81	Trt	B	-0.2063
81	Trt	A	0
81	Scale Parameter		4.3912
82	Intercept		-1.2347
82	Trt	D	-1.4039
82	Trt	C	-0.2409
82	Trt	B	0.07264
82	Trt	A	0
82	Scale Parameter		2.8112
83	Intercept		-0.6205
83	Trt	D	-1.9456
83	Trt	C	-1.3408
83	Trt	B	-0.7024
83	Trt	A	0
83	Scale Parameter		3.3611
84	Intercept		-0.5454
84	Trt	D	-1.9954
84	Trt	C	-0.8369
84	Trt	B	-0.6630
84	Trt	A	0
84	Scale Parameter		2.8939
85	Intercept		-0.5119
85	Trt	D	-1.7447
85	Trt	C	-1.1937
85	Trt	B	-0.5356
85	Trt	A	0
85	Scale Parameter		2.2864
86	Intercept		-0.5139
86	Trt	D	-1.6738
86	Trt	C	-1.4475
86	Trt	B	-1.0527
86	Trt	A	0
86	Scale Parameter		4.0615
87	Intercept		-0.6345
87	Trt	D	-2.1823
87	Trt	C	-0.9147
87	Trt	B	-0.6278
87	Trt	A	0
87	Scale Parameter		3.0687
88	Intercept		-0.4805
88	Trt	D	-1.9175
88	Trt	C	-1.4680
88	Trt	B	-0.3463
88	Trt	A	0
88	Scale Parameter		3.6118
89	Intercept		-0.5187
89	Trt	D	-2.1013
89	Trt	C	-0.8466
89	Trt	B	-0.8116
89	Trt	A	0
89	Scale Parameter		1.9252
90	Intercept		-0.7195
90	Trt	D	-1.7258
90	Trt	C	-0.9882
90	Trt	B	-0.7653
90	Trt	A	0
90	Scale Parameter		1.7620
91	Intercept		-0.5455
91	Trt	D	-1.8956
91	Trt	C	-0.8879
91	Trt	B	-0.6077
91	Trt	A	0
91	Scale Parameter		2.1433
92	Intercept		-0.6145
92	Trt	D	-2.4297
92	Trt	C	-0.8892
92	Trt	B	-0.8092
92	Trt	A	0
92	Scale Parameter		4.1767
93	Intercept		-0.6978
93	Trt	D	-1.8334
93	Trt	C	-0.8778
93	Trt	B	-0.3468
93	Trt	A	0
93	Scale Parameter		3.3043
94	Intercept		-0.6002
94	Trt	D	-1.7083
94	Trt	C	-0.9536
94	Trt	B	-0.7720
94	Trt	A	0
94	Scale Parameter		2.9267
