Dataset	Parm	Level1	Estimate
159	Trt	A	0.0000
160	Intercept		-0.7114
160	Trt	D	-2.3913
160	Trt	C	-0.9668
160	Trt	B	-0.7025
160	Trt	A	0.0000
161	Intercept		-0.7941
161	Trt	D	-1.6346
161	Trt	C	-0.6590
161	Trt	B	-0.0159
161	Trt	A	0.0000
162	Intercept		-0.7785
162	Trt	D	-1.7414
162	Trt	C	-0.8684
162	Trt	B	-0.3715
162	Trt	A	0.0000
163	Intercept		-0.7552
163	Trt	D	-2.1747
163	Trt	C	-0.9454
163	Trt	B	-0.4628
163	Trt	A	0.0000
164	Intercept		-0.6099
164	Trt	D	-2.4120
164	Trt	C	-1.4786
164	Trt	B	-0.2761
164	Trt	A	0.0000
165	Intercept		-0.6377
165	Trt	D	-2.4161
165	Trt	C	-1.3109
165	Trt	B	-0.3720
165	Trt	A	0.0000
166	Intercept		-0.8420
166	Trt	D	-2.4516
166	Trt	C	-0.7030
166	Trt	B	-0.3464
166	Trt	A	0.0000
167	Intercept		-1.0338
167	Trt	D	-1.0544
167	Trt	C	-0.6011
167	Trt	B	0.0536
167	Trt	A	0.0000
168	Intercept		-0.7112
168	Trt	D	-1.7864
168	Trt	C	-0.7002
168	Trt	B	-0.6393
168	Trt	A	0.0000
169	Intercept		-0.5740
169	Trt	D	-2.4543
169	Trt	C	-1.2841
169	Trt	B	-0.5950
169	Trt	A	0.0000
170	Intercept		-0.7218
170	Trt	D	-1.8468
170	Trt	C	-1.0306
170	Trt	B	-0.7476
170	Trt	A	0.0000
171	Intercept		-0.5996
171	Trt	D	-2.5729
171	Trt	C	-0.8306
171	Trt	B	-0.8793
171	Trt	A	0.0000
172	Intercept		-0.5733
172	Trt	D	-1.9439
172	Trt	C	-1.0059
172	Trt	B	-0.6287
172	Trt	A	0.0000
173	Intercept		-1.4581
173	Trt	D	-1.1711
173	Trt	C	-0.1951
173	Trt	B	0.2230
173	Trt	A	0.0000
174	Intercept		-0.6910
174	Trt	D	-1.5631
174	Trt	C	-0.8718
174	Trt	B	-0.6827
174	Trt	A	0.0000
175	Intercept		-0.7108
175	Trt	D	-1.9705
175	Trt	C	-0.9843
175	Trt	B	-1.1226
175	Trt	A	0.0000
176	Intercept		-0.6982
176	Trt	D	-2.6750
176	Trt	C	-1.1676
176	Trt	B	-0.4493
176	Trt	A	0.0000
177	Intercept		-0.8161
177	Trt	D	-2.1775
177	Trt	C	-0.9011
177	Trt	B	-0.3798
177	Trt	A	0.0000
178	Intercept		-0.7108
178	Trt	D	-1.8481
178	Trt	C	-1.7462
178	Trt	B	-0.7584
178	Trt	A	0.0000
179	Intercept		-0.5630
179	Trt	D	-1.8327
179	Trt	C	-1.4364
179	Trt	B	-0.6526
179	Trt	A	0.0000
180	Intercept		-0.8972
180	Trt	D	-1.5754
180	Trt	C	-1.1103
180	Trt	B	-0.1679
180	Trt	A	0.0000
181	Intercept		-0.4654
181	Trt	D	-3.0253
181	Trt	C	-1.0845
181	Trt	B	-0.8684
181	Trt	A	0.0000
182	Intercept		-0.8063
182	Trt	D	-2.6393
182	Trt	C	-0.6343
182	Trt	B	-0.1949
182	Trt	A	0.0000
183	Intercept		-0.8189
183	Trt	D	-1.3972
183	Trt	C	-0.8813
183	Trt	B	-0.3549
183	Trt	A	0.0000
184	Intercept		-0.8477
184	Trt	D	-1.5385
184	Trt	C	-0.7774
184	Trt	B	-0.4728
184	Trt	A	0.0000
185	Intercept		-0.4935
185	Trt	D	-2.4030
185	Trt	C	-0.9185
185	Trt	B	-1.0561
185	Trt	A	0.0000
186	Intercept		-0.6942
186	Trt	D	-1.6576
186	Trt	C	-1.2229
186	Trt	B	-0.4338
186	Trt	A	0.0000
187	Intercept		-0.7705
187	Trt	D	-2.6848
187	Trt	C	-0.5740
187	Trt	B	-0.1861
187	Trt	A	0.0000
188	Intercept		-0.6834
188	Trt	D	-1.7828
188	Trt	C	-1.1962
188	Trt	B	-0.2395
188	Trt	A	0.0000
189	Intercept		-1.1102
189	Trt	D	-1.7520
189	Trt	C	-0.5764
189	Trt	B	-0.2357
189	Trt	A	0.0000
190	Intercept		-0.6739
190	Trt	D	-2.5100
190	Trt	C	-1.3557
190	Trt	B	-0.5671
190	Trt	A	0.0000
191	Intercept		-0.6204
191	Trt	D	-2.2114
191	Trt	C	-0.8470
191	Trt	B	-0.3821
191	Trt	A	0.0000
192	Intercept		-0.6225
192	Trt	D	-2.4834
192	Trt	C	-0.9667
192	Trt	B	-0.6993
192	Trt	A	0.0000
193	Intercept		-0.8643
193	Trt	D	-2.4978
193	Trt	C	-0.5088
193	Trt	B	-0.2139
193	Trt	A	0.0000
194	Intercept		-0.6297
194	Trt	D	-2.0957
194	Trt	C	-1.0087
194	Trt	B	-0.8081
194	Trt	A	0.0000
195	Intercept		-0.8356
195	Trt	D	-2.4959
195	Trt	C	-0.6325
195	Trt	B	-0.1768
195	Trt	A	0.0000
196	Intercept		-0.6876
196	Trt	D	-1.5623
196	Trt	C	-0.7183
196	Trt	B	-0.4222
196	Trt	A	0.0000
197	Intercept		-0.6703
197	Trt	D	-2.7637
197	Trt	C	-0.9630
197	Trt	B	-0.5030
197	Trt	A	0.0000
198	Intercept		-0.5429
198	Trt	D	-2.0109
198	Trt	C	-1.0225
198	Trt	B	-0.7147
198	Trt	A	0.0000
199	Intercept		-0.8473
199	Trt	D	-1.2350
199	Trt	C	-0.7508
199	Trt	B	-0.1295
199	Trt	A	0.0000
200	Intercept		-0.6437
200	Trt	D	-1.8754
200	Trt	C	-1.0295
200	Trt	B	-0.8127
200	Trt	A	0.0000
201	Intercept		-0.5617
201	Trt	D	-1.9044
201	Trt	C	-1.5906
201	Trt	B	-0.6346
201	Trt	A	0.0000
202	Intercept		-0.6268
202	Trt	D	-2.0462
202	Trt	C	-1.0376
202	Trt	B	-0.3753
202	Trt	A	0.0000
203	Intercept		-0.7859
203	Trt	D	-2.4204
203	Trt	C	-0.7490
203	Trt	B	-0.1715
203	Trt	A	0.0000
204	Intercept		-0.8757
204	Trt	D	-2.0637
204	Trt	C	-0.7174
204	Trt	B	-0.8003
204	Trt	A	0.0000
205	Intercept		-0.4853
205	Trt	D	-2.6621
205	Trt	C	-1.0590
205	Trt	B	-0.5969
